App Name,Date,Attribute,Data Point Count
Canva - WebApp,2021-08-09 00:00:00 +0000,locale,32
Canva - WebApp,2021-08-09 00:00:00 +0000,product_variant,9
Canva - WebApp,2021-08-09 00:00:00 +0000,brand,9
Canva - WebApp,2021-08-09 00:00:00 +0000,experience,26
Canva - WebApp,2021-08-09 00:00:00 +0000,current_subscription,11
Canva - WebApp,2021-08-09 00:00:00 +0000,displayName,18
Canva - WebApp,2021-08-09 00:00:00 +0000,roles,17
Canva - WebApp,2021-08-09 00:00:00 +0000,user_journey,6
Canva - WebApp,2021-08-09 00:00:00 +0000,Experiment_AATST,2
Canva - WebApp,2021-08-09 00:00:00 +0000,Experiment_ANFAV,3
Canva - WebApp,2021-08-09 00:00:00 +0000,signup_referrer,4
Canva - WebApp,2021-08-09 00:00:00 +0000,signup_category,3
Canva - WebApp,2021-08-09 00:00:00 +0000,Experiment_ABEN2,1
Canva - WebApp,2021-08-08 00:00:00 +0000,locale,45
Canva - WebApp,2021-08-08 00:00:00 +0000,product_variant,14
Canva - WebApp,2021-08-08 00:00:00 +0000,brand,12
Canva - WebApp,2021-08-08 00:00:00 +0000,experience,39
Canva - WebApp,2021-08-08 00:00:00 +0000,Unsupported,2
Canva - WebApp,2021-08-08 00:00:00 +0000,current_subscription,18
Canva - WebApp,2021-08-08 00:00:00 +0000,displayName,26
Canva - WebApp,2021-08-08 00:00:00 +0000,roles,25
Canva - WebApp,2021-08-08 00:00:00 +0000,signup_category,4
Canva - WebApp,2021-08-08 00:00:00 +0000,user_journey,6
Canva - WebApp,2021-08-08 00:00:00 +0000,signup_referrer,6
Canva - WebApp,2021-08-08 00:00:00 +0000,Experiment_AATST,3
Canva - WebApp,2021-08-08 00:00:00 +0000,Experiment_ABEN2,2
Canva - WebApp,2021-08-08 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-08-08 00:00:00 +0000,countryCode,1
Canva - WebApp,2021-08-08 00:00:00 +0000,[Amplitude] Cohort,1
Canva - WebApp,2021-08-08 00:00:00 +0000,Experiment_ACBRH,1
Canva - WebApp,2021-08-08 00:00:00 +0000,Experiment_ADBR3,1
Canva - WebApp,2021-08-07 00:00:00 +0000,locale,37
Canva - WebApp,2021-08-07 00:00:00 +0000,current_subscription,16
Canva - WebApp,2021-08-07 00:00:00 +0000,displayName,26
Canva - WebApp,2021-08-07 00:00:00 +0000,roles,24
Canva - WebApp,2021-08-07 00:00:00 +0000,experience,31
Canva - WebApp,2021-08-07 00:00:00 +0000,signupSegment,3
Canva - WebApp,2021-08-07 00:00:00 +0000,product_variant,12
Canva - WebApp,2021-08-07 00:00:00 +0000,brand,12
Canva - WebApp,2021-08-07 00:00:00 +0000,user_journey,3
Canva - WebApp,2021-08-07 00:00:00 +0000,signup_referrer,5
Canva - WebApp,2021-08-07 00:00:00 +0000,signup_category,2
Canva - WebApp,2021-08-07 00:00:00 +0000,[Amplitude] Cohort,1
Canva - WebApp,2021-08-07 00:00:00 +0000,Most recent browser,1
Canva - WebApp,2021-08-07 00:00:00 +0000,timezone,1
Canva - WebApp,2021-08-07 00:00:00 +0000,Experiment_AATST,5
Canva - WebApp,2021-08-07 00:00:00 +0000,Experiment_ABEN2,4
Canva - WebApp,2021-08-07 00:00:00 +0000,Experiment_ACTA,2
Canva - WebApp,2021-08-06 00:00:00 +0000,locale,62
Canva - WebApp,2021-08-06 00:00:00 +0000,current_subscription,28
Canva - WebApp,2021-08-06 00:00:00 +0000,displayName,43
Canva - WebApp,2021-08-06 00:00:00 +0000,roles,42
Canva - WebApp,2021-08-06 00:00:00 +0000,experience,50
