Month,Attribute,Total Data Points
August 2021,locale,13173854
August 2021,product_variant,140
August 2021,brand,133
August 2021,experience,404
August 2021,current_subscription,213
August 2021,displayName,331
August 2021,roles,2566
August 2021,user_journey,73
August 2021,Experiment_AATST,38
August 2021,Experiment_ANFAV,16
August 2021,signup_referrer,552012
August 2021,signup_category,46
August 2021,Unsupported,10
August 2021,Experiment_ABEN2,13
August 2021,Experiment_ACTA,8
August 2021,countryCode,1
August 2021,[Amplitude] Cohort,90
August 2021,Experiment_ACBRH,10
August 2021,Experiment_ADBR3,5
August 2021,signupSegment,16
August 2021,Most recent browser,10
August 2021,timezone,10
August 2021,Experiment_ADBR2,1
August 2021,uploads_button,2
August 2021,Public designs,1
August 2021,__user,1
August 2021,Email confirmed,16334356
August 2021,journey,1448841
August 2021,current_subscriptions,1355713
August 2021,is_c4ed_teacher,72034
August 2021,is_education_user,92729
August 2021,upsell_click_no,4307019
August 2021,last_received_generic_email,888769
August 2021,last_received_email_social_triggers,1000715
August 2021,last_received_ad_doc_email,316309
August 2021,last_received_business_doc_email,172355
August 2021,push_engagement_bucket,4737623
August 2021,email_engagement_bucket,6607948
August 2021,presentation_engagement_bucket,7978945
August 2021,samsung_preinstall,265251
August 2021,recent_design,7
August 2021,is_district_teacher,18
August 2021,RECENTLY_PUBLISHED_MARKETING_CATEGORY,408757597
July 2021,locale,149707667
July 2021,current_subscription,894
July 2021,displayName,1362
July 2021,roles,119806
July 2021,experience,1700
July 2021,user_journey,370
July 2021,signup_referrer,1813137
July 2021,signup_category,183
July 2021,product_variant,646
July 2021,brand,589
July 2021,Experiment_AATST,171
July 2021,Experiment_ABEN2,84
July 2021,Experiment_ACTA,50
July 2021,Experiment_ANFAV,44
July 2021,Experiment_ACBRH,23
July 2021,signupSegment,70
July 2021,__user,4
July 2021,Most recent browser,37
July 2021,timezone,37
July 2021,countryCode,22
July 2021,Experiment_ADBR3,12
July 2021,Experiment_ADBR2,1
July 2021,[Amplitude] Cohort,282
July 2021,Unsupported,43
July 2021,uploads_button,3
July 2021,Experiment_ADMX2,1
July 2021,Email confirmed,54287348
July 2021,current_subscriptions,3900964
July 2021,is_c4ed_teacher,153671
July 2021,is_education_user,170017
July 2021,last_received_ad_doc_email,1095216
July 2021,journey,4934762
July 2021,upsell_click_no,13406769
July 2021,last_received_email_social_triggers,3574496
July 2021,last_received_generic_email,3561906
July 2021,last_received_business_doc_email,641707
July 2021,push_engagement_bucket,16551066
July 2021,email_engagement_bucket,21739119
July 2021,presentation_engagement_bucket,27204168
July 2021,samsung_preinstall,847
July 2021,recent_design,5401245
July 2021,is_district_teacher,118
July 2021,survey_link,97191
July 2021,push_token,1
June 2021,locale,217796153
June 2021,experience,95193646
June 2021,current_subscription,1348
June 2021,displayName,92997
June 2021,roles,220897
June 2021,product_variant,802
June 2021,brand,724
June 2021,signup_referrer,2115216
June 2021,[Amplitude] Cohort,670
June 2021,signupSegment,96
June 2021,user_journey,494
June 2021,signup_category,240
June 2021,Experiment_AATST,227
June 2021,Experiment_ACBRH,20
June 2021,Experiment_ADBR3,8
June 2021,Unsupported,46
June 2021,Most recent browser,45
June 2021,timezone,45
June 2021,Experiment_ADMX2,1
June 2021,Experiment_ABEN2,118
June 2021,Experiment_ACTA,70
June 2021,countryCode,21
June 2021,Experiment_ANFAV,51
June 2021,Experiment_ACEVN,2
June 2021,__user,4
June 2021,uploads_drop,1
