Month,Event Name,Total Data Points
August 2021,Application Updated,118486
August 2021,account_setting_change_email_submitted,187
August 2021,account_setting_change_journey_submitted,242
August 2021,account_setting_change_name_submitted,206
August 2021,account_setting_change_password_submitted,527
August 2021,account_setting_deactivate_requested,265
August 2021,account_settings_page_visit,6548
August 2021,app_content_upload_completed,3852
August 2021,app_content_upload_started,7352
August 2021,app_impressions,746813
August 2021,app_opened,172315777
August 2021,app_update_prompt_responded,33
August 2021,app_update_prompt_shown,74
August 2021,apps_upgrade_cta_claim_clicked,510
August 2021,apps_upgrade_cta_shown,36764088
August 2021,apps_upgrade_cta_try_trial_clicked,1402831
August 2021,assistant_article_search_query,3889
August 2021,assistant_article_used,4967
August 2021,assistant_card_closed,161
August 2021,assistant_card_rating_clicked,230
August 2021,assistant_closed,5288
August 2021,assistant_feedback_sent,482
August 2021,assistant_help_center_link_clicked,257
August 2021,assistant_opened,23570
August 2021,authenticating_continue_clicked,21435
August 2021,authentication_failed,1736107
August 2021,brand_color_added,733790
August 2021,brand_color_deleted,3116
August 2021,brand_color_edited,17425
August 2021,brand_color_palette_added,2214
August 2021,brand_color_palette_deleted,1029
August 2021,brand_color_palette_generation_initiated,1089
August 2021,brand_color_palette_generation_kept,869
August 2021,brand_color_palette_generation_removed,334
August 2021,brand_color_palette_renamed,754
August 2021,brand_color_palette_reorder_initiated,217
August 2021,brand_color_palette_reordered,228
August 2021,brand_font_deleted,199
August 2021,brand_font_uploaded,455713
August 2021,brand_kit_color_palette_menu_opened,5865
August 2021,brand_kit_created,40026
August 2021,brand_kit_deleted,177
August 2021,brand_kit_opened,2492
August 2021,brand_kit_renamed,450
August 2021,brand_kit_switched,1906
August 2021,brand_kit_switcher_opened,3596
August 2021,brand_logo_deleted,1228
August 2021,brand_logo_downloaded,488
August 2021,brand_logo_uploaded,268835
August 2021,brand_name_edited,171
August 2021,brand_switched,39182
August 2021,brand_text_style_edited,4343
August 2021,braze_delayed_login_success,5072725
August 2021,braze_delayed_signup_completed,1952118
August 2021,bulk_actions_completed,5313
August 2021,bulk_actions_control_bar_action_confirmed,5348
August 2021,bulk_actions_control_bar_action_selected,6524
August 2021,bulk_actions_failed,33
August 2021,button_click,6655
August 2021,check_email_dialog_clicked,2253
August 2021,check_email_dialog_shown,3116
August 2021,client_sdk_app_opened,144455891
August 2021,client_sdk_apps_upgrade_cta_shown,3784448
August 2021,client_sdk_apps_upgrade_cta_try_trial_clicked,10718
August 2021,client_sdk_authentication_failed,1752339
August 2021,client_sdk_brand_color_added,94758
